,name,team,position,height_in,weight_lb,age,years_played
107,Dustin_Pedroia,BOS,Second_Baseman,69,180.0,23.54,20
108,Alex_Cora,BOS,Shortstop,72,180.0,31.37,10
109,Julio_Lugo,BOS,Shortstop,73,170.0,31.29,2
110,Mike_Lowell,BOS,Third_Baseman,75,210.0,33.01,2
111,Wily_Mo_Pe?a,BOS,Outfielder,75,215.0,25.1,11
112,J.D._Drew,BOS,Outfielder,73,200.0,31.28,14
113,Manny_Ramirez,BOS,Outfielder,72,213.0,34.75,8
114,Brandon_Moss,BOS,Outfielder,72,180.0,23.46,7
115,David_Murphy,BOS,Outfielder,76,192.0,25.37,13
116,Eric_Hinske,BOS,Outfielder,74,235.0,29.57,5
117,Coco_Crisp,BOS,Outfielder,72,185.0,27.33,1
118,David_Ortiz,BOS,Designated_Hitter,76,230.0,31.28,3
119,Curt_Schilling,BOS,Starting_Pitcher,77,235.0,40.29,17
120,Tim_Wakefield,BOS,Starting_Pitcher,74,210.0,40.58,9
121,Josh_Beckett,BOS,Starting_Pitcher,77,222.0,26.79,12
122,Matt_Clement,BOS,Starting_Pitcher,75,210.0,32.55,6
123,Jonathan_Papelbon,BOS,Starting_Pitcher,76,230.0,26.27,16
124,Kyle_Snyder,BOS,Starting_Pitcher,80,220.0,29.47,7
125,Devern_Hansack,BOS,Starting_Pitcher,74,180.0,29.07,17
126,Jon_Lester,BOS,Starting_Pitcher,74,190.0,23.15,17
127,Kason_Gabbard,BOS,Starting_Pitcher,75,200.0,24.9,14
128,Craig_Hansen,BOS,Relief_Pitcher,78,210.0,23.29,9
129,Hideki_Okajima,BOS,Relief_Pitcher,73,194.0,31.18,14
130,Craig_Breslow,BOS,Relief_Pitcher,73,180.0,26.56,17
131,Manny_Delcarmen,BOS,Relief_Pitcher,74,190.0,25.03,13
132,Brendan_Donnelly,BOS,Relief_Pitcher,75,240.0,35.66,2
133,Javier_Lopez,BOS,Relief_Pitcher,76,200.0,29.64,10
134,J.C._Romero,BOS,Relief_Pitcher,71,198.0,30.74,15
135,Joel_Pineiro,BOS,Relief_Pitcher,73,200.0,28.43,5
136,Julian_Tavarez,BOS,Relief_Pitcher,74,195.0,33.77,18
137,Mike_Timlin,BOS,Relief_Pitcher,76,210.0,40.97,2
138,Nick_DeBarr,BOS,Relief_Pitcher,76,220.0,23.52,17
139,Victor_Martinez,CLE,Catcher,74,190.0,28.19,4
140,Kelly_Shoppach,CLE,Catcher,73,210.0,26.84,13
141,Ryan_Garko,CLE,First_Baseman,74,225.0,26.16,20
142,Joe_Inglett,CLE,Second_Baseman,70,180.0,28.67,12
143,Josh_Barfield,CLE,Second_Baseman,72,185.0,24.2,18
144,Hector_Luna,CLE,Second_Baseman,73,170.0,27.08,8
145,Jhonny_Peralta,CLE,Shortstop,73,185.0,24.76,12
146,Andy_Marte,CLE,Third_Baseman,73,185.0,23.36,15
147,Ben_Francisco,CLE,Outfielder,73,180.0,25.35,15
148,Shin-Soo_Choo,CLE,Outfielder,71,178.0,24.63,10
149,Franklin_Gutierrez,CLE,Outfielder,74,175.0,24.02,7
150,Grady_Sizemore,CLE,Outfielder,74,200.0,24.58,6
151,Jason_Michaels,CLE,Outfielder,72,204.0,30.82,9
152,Trot_Nixon,CLE,Outfielder,74,211.0,32.89,16
153,David_Dellucci,CLE,Outfielder,71,190.0,33.33,7
154,Casey_Blake,CLE,Outfielder,74,210.0,33.52,16
155,Travis_Hafner,CLE,Designated_Hitter,75,240.0,29.74,6
156,Paul_Byrd,CLE,Starting_Pitcher,73,190.0,36.24,17
157,Cliff_Lee,CLE,Starting_Pitcher,75,190.0,28.5,6
158,Jake_Westbrook,CLE,Starting_Pitcher,75,185.0,29.42,4
159,C.C._Sabathia,CLE,Starting_Pitcher,79,290.0,26.61,8
160,Jeremy_Sowers,CLE,Starting_Pitcher,73,175.0,23.79,2
161,Rafael_Perez,CLE,Relief_Pitcher,75,185.0,24.96,15
162,Brian_Slocum,CLE,Relief_Pitcher,76,200.0,25.93,14
163,Edward_Mujica,CLE,Relief_Pitcher,74,220.0,22.81,16
164,Fernando_Cabrera,CLE,Relief_Pitcher,76,170.0,25.29,7
165,Tom_Mastny,CLE,Relief_Pitcher,78,220.0,26.07,10
166,Juan_Lara,CLE,Relief_Pitcher,74,190.0,26.09,12
167,Fausto_Carmona,CLE,Relief_Pitcher,76,220.0,23.23,7
168,Aaron_Fultz,CLE,Relief_Pitcher,72,205.0,33.49,8
169,Rafael_Betancourt,CLE,Relief_Pitcher,74,200.0,31.84,7
170,Roberto_Hernandez,CLE,Relief_Pitcher,76,250.0,42.3,18
171,Joe_Borowski,CLE,Relief_Pitcher,74,225.0,35.82,18
172,Matt_Miller,CLE,Relief_Pitcher,75,215.0,35.27,18
173,Jason_Davis,CLE,Relief_Pitcher,78,210.0,26.81,20
174,Mike_Piazza,OAK,Catcher,75,215.0,38.49,20
175,Jason_Kendall,OAK,Catcher,72,195.0,32.68,17
176,Adam_Melhuse,OAK,Catcher,74,200.0,34.93,3
177,Nick_Swisher,OAK,First_Baseman,72,194.0,26.26,20
178,Dan_Johnson,OAK,First_Baseman,74,220.0,27.56,12
179,Donald_Murphy,OAK,Second_Baseman,70,180.0,23.98,4
180,Mark_Ellis,OAK,Second_Baseman,71,180.0,29.73,17
181,Marco_Scutaro,OAK,Shortstop,70,170.0,31.33,6
182,Bobby_Crosby,OAK,Shortstop,75,195.0,27.13,3
183,Mark_Kiger,OAK,Shortstop,71,180.0,26.75,20
184,Antonio_Perez,OAK,Third_Baseman,71,170.0,27.09,2
185,Eric_Chavez,OAK,Third_Baseman,73,206.0,29.23,4
186,Milton_Bradley,OAK,Outfielder,72,205.0,28.88,17
187,Shannon_Stewart,OAK,Outfielder,71,200.0,33.01,5
188,Bobby_Kielty,OAK,Outfielder,73,225.0,30.57,7
189,Mark_Kotsay,OAK,Outfielder,72,201.0,31.24,8
190,Ryan_Goleski,OAK,Outfielder,75,225.0,24.95,15
191,Jeremy_Brown,OAK,Designated_Hitter,70,226.0,27.35,9
192,Jason_Windsor,OAK,Starting_Pitcher,74,233.0,24.62,2
193,David_Shafer,OAK,Starting_Pitcher,74,180.0,24.98,1
194,Joe_Blanton,OAK,Starting_Pitcher,75,225.0,26.22,8
195,Brad_Halsey,OAK,Starting_Pitcher,73,180.0,26.04,19
196,Dan_Haren,OAK,Starting_Pitcher,77,220.0,26.45,2
197,Rich_Harden,OAK,Starting_Pitcher,73,180.0,25.25,16
198,Joe_Kennedy,OAK,Starting_Pitcher,76,237.0,27.77,8
199,Esteban_Loaiza,OAK,Starting_Pitcher,75,215.0,35.16,5
200,Alan_Embree,OAK,Relief_Pitcher,74,190.0,37.1,1
201,Jay_Witasick,OAK,Relief_Pitcher,76,235.0,34.51,3
202,Justin_Duchscherer,OAK,Relief_Pitcher,75,190.0,29.28,17
203,Kiko_Calero,OAK,Relief_Pitcher,73,180.0,32.14,6
204,Chad_Gaudin,OAK,Relief_Pitcher,71,165.0,23.94,5
205,Lenny_DiNardo,OAK,Relief_Pitcher,76,195.0,27.45,20
206,Scott_Dunn,OAK,Relief_Pitcher,75,200.0,28.77,7
207,Huston_Street,OAK,Relief_Pitcher,72,190.0,23.58,13
208,Ron_Flores,OAK,Relief_Pitcher,71,190.0,27.56,7
209,Jay_Marshall,OAK,Relief_Pitcher,77,185.0,24.01,15
210,Marcus_McBeth,OAK,Relief_Pitcher,73,185.0,26.52,15
211,Jorge_Posada,NYY,Catcher,74,205.0,35.54,8
212,Wil_Nieves,NYY,Catcher,71,190.0,29.43,1
213,Andy_Phillips,NYY,First_Baseman,72,205.0,29.9,8
214,Doug_Mientkiewicz,NYY,First_Baseman,74,206.0,32.7,5
215,Josh_Phelps,NYY,First_Baseman,75,220.0,28.8,9
216,Miguel_Cairo,NYY,Second_Baseman,73,208.0,32.82,15
217,Robinson_Cano,NYY,Second_Baseman,72,170.0,24.36,13
218,Derek_Jeter,NYY,Shortstop,75,195.0,32.68,9
219,Alex_Rodriguez,NYY,Third_Baseman,75,210.0,31.59,20
220,Johnny_Damon,NYY,Outfielder,74,190.0,33.32,7
221,Bobby_Abreu,NYY,Outfielder,72,211.0,32.97,16
222,Hideki_Matsui,NYY,Outfielder,74,230.0,32.72,7
223,Melky_Cabrera,NYY,Outfielder,71,170.0,22.55,20
224,Kevin_Thompson,NYY,Outfielder,70,185.0,27.45,17
225,Jason_Giambi,NYY,Designated_Hitter,75,230.0,36.14,6
226,Mike_Mussina,NYY,Starting_Pitcher,74,185.0,38.23,7
227,Carl_Pavano,NYY,Starting_Pitcher,77,241.0,31.14,1
228,Andy_Pettitte,NYY,Starting_Pitcher,77,225.0,34.71,17
229,Darrell_Rasner,NYY,Starting_Pitcher,75,210.0,26.13,10
230,Jeff_Karstens,NYY,Starting_Pitcher,75,175.0,24.43,16
231,Humberto_Sanchez,NYY,Starting_Pitcher,78,230.0,23.76,1
232,Chien-Ming_Wang,NYY,Starting_Pitcher,75,200.0,26.92,4
233,Sean_Henn,NYY,Relief_Pitcher,76,215.0,25.85,6
234,Scott_Proctor,NYY,Relief_Pitcher,73,198.0,30.16,9
235,Brian_Bruney,NYY,Relief_Pitcher,75,226.0,25.03,2
236,Chris_Britton,NYY,Relief_Pitcher,75,278.0,24.21,15
237,T.J._Beam,NYY,Relief_Pitcher,79,215.0,26.51,7
238,Jose_Veras,NYY,Relief_Pitcher,77,230.0,26.36,14
239,Kyle_Farnsworth,NYY,Relief_Pitcher,76,240.0,30.88,12
240,Luis_Vizcaino,NYY,Relief_Pitcher,71,184.0,32.57,11
241,Mike_Myers,NYY,Relief_Pitcher,75,219.0,37.68,8
242,Mariano_Rivera,NYY,Relief_Pitcher,74,170.0,37.25,2
243,Ivan_Rodriguez,DET,Catcher,69,218.0,35.25,1
244,Vance_Wilson,DET,Catcher,71,190.0,33.95,14
245,Sean_Casey,DET,First_Baseman,76,225.0,32.66,1
246,Chris_Shelton,DET,First_Baseman,72,220.0,26.68,7
247,Omar_Infante,DET,Second_Baseman,72,176.0,25.18,3
248,Placido_Polanco,DET,Second_Baseman,70,190.0,31.39,18
249,Neifi_Perez,DET,Second_Baseman,72,197.0,33.74,8
250,Carlos_Guillen,DET,Shortstop,73,204.0,31.42,10
251,Ramon_Santiago,DET,Shortstop,71,167.0,27.5,13
252,Tony_Giarratano,DET,Shortstop,72,180.0,24.25,10
253,Brandon_Inge,DET,Third_Baseman,71,195.0,29.78,3
254,Craig_Monroe,DET,Outfielder,73,220.0,30.0,16
255,Magglio_Ordo?ez,DET,Outfielder,72,215.0,33.09,10
256,Curtis_Granderson,DET,Outfielder,73,185.0,25.96,17
257,Brent_Clevlen,DET,Outfielder,74,190.0,23.34,7
258,Marcus_Thames,DET,Outfielder,74,205.0,29.98,2
259,Gary_Sheffield,DET,Outfielder,72,205.0,38.28,1
260,Mike_Rabelo,DET,Designated_Hitter,73,200.0,27.12,19
261,Zach_Miner,DET,Starting_Pitcher,75,200.0,24.97,13
262,Jeremy_Bonderman,DET,Starting_Pitcher,74,210.0,24.34,7
263,Nate_Robertson,DET,Starting_Pitcher,74,215.0,29.49,15
264,Justin_Verlander,DET,Starting_Pitcher,77,200.0,24.02,20
265,Virgil_Vasquez,DET,Starting_Pitcher,75,205.0,24.73,11
266,Kenny_Rogers,DET,Starting_Pitcher,73,211.0,42.3,7
267,Mike_Maroth,DET,Starting_Pitcher,72,190.0,29.54,7
268,Fernando_Rodney,DET,Relief_Pitcher,71,208.0,29.95,16
269,Chad_Durbin,DET,Relief_Pitcher,74,200.0,29.24,9
270,Jason_Grilli,DET,Relief_Pitcher,77,210.0,30.3,1
271,Jose_Mesa,DET,Relief_Pitcher,75,232.0,40.77,13
272,Todd_Jones,DET,Relief_Pitcher,75,230.0,38.85,15
273,Joel_Zumaya,DET,Relief_Pitcher,75,210.0,22.31,2
274,Jordan_Tata,DET,Relief_Pitcher,78,220.0,25.44,9
275,Andrew_Miller,DET,Relief_Pitcher,78,210.0,21.78,4
276,Yorman_Bazardo,DET,Relief_Pitcher,74,202.0,22.64,1
277,Wilfredo_Ledezma,DET,Relief_Pitcher,76,212.0,26.11,17
278,Roman_Colon,DET,Relief_Pitcher,78,225.0,27.55,2
279,Edward_Campusano,DET,Relief_Pitcher,76,170.0,24.63,11
280,Rene_Rivera,SEA,Catcher,70,190.0,23.58,8
281,Kenji_Johjima,SEA,Catcher,72,200.0,30.73,19
282,Richie_Sexson,SEA,First_Baseman,80,237.0,32.17,19
283,Ben_Broussard,SEA,First_Baseman,74,220.0,30.43,14
284,Jose_Lopez,SEA,Second_Baseman,74,170.0,23.27,19
285,Jose_Vidro,SEA,Second_Baseman,71,193.0,32.51,17
286,Yuniesky_Betancourt,SEA,Shortstop,70,190.0,25.08,8
287,Oswaldo_Navarro,SEA,Shortstop,72,150.0,22.41,1
288,Adrian_Beltre,SEA,Third_Baseman,71,220.0,27.9,13
289,Raul_Ibanez,SEA,Outfielder,74,200.0,34.74,11
290,Jose_Guillen,SEA,Outfielder,71,190.0,30.79,13
291,Jeremy_Reed,SEA,Outfielder,72,185.0,25.71,6
292,Willie_Bloomquist,SEA,Outfielder,71,185.0,29.26,9
293,Adam_Jones,SEA,Outfielder,74,200.0,21.58,4
294,Ichiro_Suzuki,SEA,Outfielder,69,172.0,33.36,8
295,Mike_Morse,SEA,Outfielder,76,220.0,24.94,12
296,Felix_Hernandez,SEA,Starting_Pitcher,75,225.0,20.9,7
297,Ryan_Feierabend,SEA,Starting_Pitcher,75,190.0,21.52,8
298,Sean_White,SEA,Starting_Pitcher,76,195.0,25.85,14
299,Horacio_Ramirez,SEA,Starting_Pitcher,73,219.0,27.27,18
300,Cha_Baek,SEA,Starting_Pitcher,76,190.0,26.75,9
301,Miguel_Batista,SEA,Starting_Pitcher,73,197.0,36.03,11
302,Jeff_Weaver,SEA,Starting_Pitcher,77,200.0,30.52,14
303,Jarrod_Washburn,SEA,Starting_Pitcher,73,195.0,32.55,1
304,George_Sherrill,SEA,Relief_Pitcher,72,210.0,29.86,5
305,Julio_Mateo,SEA,Relief_Pitcher,72,177.0,29.58,11
306,J.J._Putz,SEA,Relief_Pitcher,77,220.0,30.02,11
307,Chris_Reitsma,SEA,Relief_Pitcher,77,235.0,29.16,14
308,Cesar_Jimenez,SEA,Relief_Pitcher,71,180.0,22.3,15
309,Eric_O'Flaherty,SEA,Relief_Pitcher,74,195.0,22.06,17
310,Jon_Huber,SEA,Relief_Pitcher,74,195.0,25.65,20
311,Jake_Woods,SEA,Relief_Pitcher,73,190.0,25.49,20
312,Sean_Green,SEA,Relief_Pitcher,78,230.0,27.86,12
313,Mark_Lowe,SEA,Relief_Pitcher,75,190.0,23.73,7
314,Josh_Paul,TB,Catcher,73,200.0,31.78,6
315,Dioner_Navarro,TB,Catcher,70,190.0,23.06,2
316,Shawn_Riggans,TB,Catcher,74,190.0,26.6,15
317,Ty_Wigginton,TB,First_Baseman,72,200.0,29.39,19
318,Brendan_Harris,TB,Second_Baseman,73,200.0,26.51,6
319,Jorge_Cantu,TB,Second_Baseman,73,184.0,25.08,17
320,Ben_Zobrist,TB,Shortstop,75,200.0,25.76,12
321,B.J._Upton,TB,Third_Baseman,75,180.0,22.52,7
322,Carl_Crawford,TB,Outfielder,74,219.0,25.57,17
323,Rocco_Baldelli,TB,Outfielder,76,187.0,25.43,19
324,Greg_Norton,TB,Outfielder,73,200.0,34.65,15
325,Elijah_Dukes,TB,Outfielder,74,220.0,22.68,7
326,Delmon_Young,TB,Outfielder,75,205.0,21.46,3
327,Jonny_Gomes,TB,Designated_Hitter,73,205.0,26.27,18
328,Edwin_Jackson,TB,Starting_Pitcher,75,190.0,23.47,17
329,Scott_Kazmir,TB,Starting_Pitcher,72,170.0,23.1,14
330,Casey_Fossum,TB,Starting_Pitcher,73,160.0,29.14,2
331,Jae_Seo,TB,Starting_Pitcher,73,215.0,29.77,18
332,J.P._Howell,TB,Starting_Pitcher,72,175.0,23.85,6
333,Tim_Corcoran,TB,Starting_Pitcher,74,205.0,28.88,2
334,Jason_Hammel,TB,Starting_Pitcher,78,200.0,24.49,14
335,James_Shields,TB,Starting_Pitcher,76,214.0,25.19,1
336,Brian_Stokes,TB,Starting_Pitcher,73,200.0,27.48,15
337,Juan_Salas,TB,Relief_Pitcher,74,190.0,28.31,5
338,Jeff_Ridgway,TB,Relief_Pitcher,75,180.0,26.54,6
339,Ruddy_Lugo,TB,Relief_Pitcher,70,205.0,26.77,5
340,Jae-Kuk_Ryu,TB,Relief_Pitcher,75,220.0,23.75,15
341,Chad_Orvella,TB,Relief_Pitcher,71,190.0,26.41,17
342,Dan_Miceli,TB,Relief_Pitcher,72,215.0,36.47,13
343,Seth_McClung,TB,Relief_Pitcher,78,235.0,26.06,6
344,Jon_Switzer,TB,Relief_Pitcher,75,191.0,27.55,20
345,Shawn_Camp,TB,Relief_Pitcher,73,200.0,31.28,9
346,Scott_Dohmann,TB,Relief_Pitcher,73,181.0,29.04,8
347,Jason_LaRue,KC,Catcher,71,200.0,32.95,2
348,John_Buck,KC,Catcher,75,210.0,26.65,7
349,Ryan_Shealy,KC,First_Baseman,77,240.0,27.5,1
350,Ross_Gload,KC,First_Baseman,72,185.0,30.9,2
351,Esteban_German,KC,Second_Baseman,69,165.0,29.09,20
352,Mark_Grudzielanek,KC,Second_Baseman,73,190.0,36.67,6
353,Angel_Sanchez,KC,Second_Baseman,74,185.0,23.44,9
354,Angel_Berroa,KC,Shortstop,72,175.0,29.09,16
355,Andres_Blanco,KC,Shortstop,70,155.0,22.89,4
356,Mark_Teahen,KC,Third_Baseman,75,210.0,25.48,18
357,Joey_Gathright,KC,Outfielder,70,170.0,25.84,9
358,David_DeJesus,KC,Outfielder,72,175.0,27.2,2
359,Shane_Costa,KC,Outfielder,72,220.0,25.22,5
360,Mitch_Maier,KC,Outfielder,74,210.0,24.67,20
361,Reggie_Sanders,KC,Outfielder,73,205.0,39.25,15
362,Emil_Brown,KC,Outfielder,74,200.0,32.17,13
363,Mike_Sweeney,KC,Designated_Hitter,75,225.0,33.61,18
364,John_Bale,KC,Starting_Pitcher,76,205.0,32.77,18
365,Luke_Hudson,KC,Starting_Pitcher,75,195.0,29.83,5
366,Scott_Elarton,KC,Starting_Pitcher,80,240.0,31.02,16
367,Odalis_Perez,KC,Starting_Pitcher,72,150.0,29.73,4
368,Gil_Meche,KC,Starting_Pitcher,75,200.0,28.48,8
369,Neal_Musser,KC,Starting_Pitcher,73,215.0,26.51,4
370,Brian_Bannister,KC,Starting_Pitcher,74,202.0,26.0,4
371,Zack_Greinke,KC,Starting_Pitcher,74,200.0,23.36,2
372,Jorge_De_La_Rosa,KC,Starting_Pitcher,73,190.0,25.9,11
373,Todd_Wellemeyer,KC,Relief_Pitcher,75,205.0,28.5,8
374,Jimmy_Gobble,KC,Relief_Pitcher,75,190.0,25.62,18
375,Joel_Peralta,KC,Relief_Pitcher,71,160.0,30.94,19
376,Ryan_Braun,KC,Relief_Pitcher,73,215.0,26.59,6
377,Joakim_Soria,KC,Relief_Pitcher,75,185.0,22.78,19
378,Ken_Ray,KC,Relief_Pitcher,74,200.0,32.26,7
379,David_Riske,KC,Relief_Pitcher,74,190.0,30.35,12
380,Octavio_Dotel,KC,Relief_Pitcher,72,210.0,33.26,17
381,Joe_Nelson,KC,Relief_Pitcher,74,185.0,32.35,6
382,Gerald_Laird,TEX,Catcher,74,220.0,27.3,1
383,Miguel_Ojeda,TEX,Catcher,74,190.0,32.08,5
384,Guillermo_Quiroz,TEX,Catcher,73,202.0,25.25,5
385,Chris_Stewart,TEX,Catcher,76,205.0,25.03,4
386,Mark_Teixeira,TEX,First_Baseman,75,220.0,26.89,11
387,Ian_Kinsler,TEX,Second_Baseman,72,175.0,24.69,20
388,Joaquin_Arias,TEX,Shortstop,73,160.0,22.44,14
389,Michael_Young,TEX,Shortstop,73,190.0,30.36,7
390,Hank_Blalock,TEX,Third_Baseman,73,200.0,26.27,4
391,Marlon_Byrd,TEX,Outfielder,72,229.0,29.5,7
392,Brad_Wilkerson,TEX,Outfielder,72,206.0,29.75,12
393,Sammy_Sosa,TEX,Outfielder,72,220.0,38.3,14
